7/2/2019,788.3 h,105.00 L,,,,105,788.3,13.05 L/h,11363.67 L,1139.3,1927.6,,,,
7/3/2019,796.6 h,167.00 L,8.3 h,20.12 L/h,,167,796.6,,,,,,,,
7/4/2019,804.9 h,158.00 L,8.3 h,19.04 L/h,,158,804.9,,,,,,,,
7/5/2019,818.3 h,196.00 L,13.4 h,14.63 L/h,,196,818.3,Start,End,Fuel Consumed,Total Fuel Consumed this year,,,,
7/6/2019,823.9 h,92.00 L,5.6 h,16.43 L/h,,92,823.9,1 Jul,31 Jul,2296,11363.67,,,,average 10 tank fills
7/10/2019,838.8 h,217.00 L,14.9 h,14.56 L/h,,217,838.8,1 Aug,31 Aug,846.8,,,,,
7/13/2019,856.9 h,208.00 L,18.1 h,11.49 L/h,,208,856.9,1 Sep,30 Sep,1804.3,,,,,
7/16/2019,,120.00 L,,,,120,856.9,1 Oct,31 Oct,1909.9,,,,,
7/19/2019,884.0 h,127.00 L,27.1 h,9.11 L/h,,247,884,1 Nov,30 Nov,721.87,L/h Average,,,,
7/23/2019,901.1 h,246.00 L,17.1 h,14.39 L/h,14.97 L/h,246,901.1,1 Dec,31 Dec,209.5,13.05,,,,
7/25/2019,917.8 h,202.00 L,16.7 h,12.10 L/h,14.65 L/h,202,917.8,1 Jan,31 Jan,245.6,,,,,
7/29/2019,937.9 h,264.00 L,20.1 h,13.13 L/h,13.88 L/h,264,937.9,1 Feb,29 Feb,2055.3,,,,,
7/31/2019,955.4 h,194.00 L,17.5 h,11.09 L/h,12.99 L/h,194,955.4,1 Mar,31 Mar,1274.4,Total Hours Worked,,,,
8/6/2019,980.1 h,125.10 L,24.7 h,5.06 L/h,11.93 L/h,125.1,980.1,1 Apr,30 Apr,0,1139.3,,,,
8/7/2019,991.0 h,89.60 L,10.9 h,8.22 L/h,11.02 L/h,89.6,991,1 May,31 May,0,,,,,
8/13/2019,,58.00 L,,,10.57 L/h,58,991,1 Jun,30 Jun,0,,,,,
8/21/2019,,180.00 L,,,10.44 L/h,238,991,,,,,,,,
8/26/2019,1024.9 h,160.60 L,33.9 h,11.76 L/h,10.61 L/h,398.6,1024.9,,,,,,,,
8/28/2019,1042.2 h,162.30 L,17.3 h,9.38 L/h,10.64 L/h,162.3,1042.2,,,,,,,,
8/30/2019,,71.20 L,,,10.11 L/h,71.2,1042.2,,,,,,,,
9/2/2019,1067.9 h,138.80 L,25.7 h,8.17 L/h,9.55 L/h,210,1067.9,,,,,,,,
9/12/2019,1084.8 h,198.00 L,16.9 h,11.72 L/h,9.34 L/h,198,1084.8,,,,,,,,
9/16/2019,1096.5 h,127.50 L,11.7 h,10.90 L/h,9.32 L/h,127.5,1096.5,,,,,,,,
9/18/2019,1105.5 h,93.50 L,9.0 h,10.39 L/h,10.08 L/h,93.5,1105.5,,,,,,,,
9/20/2019,1124.5 h,225.00 L,19.0 h,11.84 L/h,10.59 L/h,225,1124.5,,,,,,,,
9/21/2019,1135.9 h,198.50 L,11.4 h,17.41 L/h,11.45 L/h,198.5,1135.9,,,,,,,,
9/25/2019,1144.8 h,221.80 L,8.9 h,24.92 L/h,12.94 L/h,221.8,1144.8,,,,,,,,
9/30/2019,1160.7 h,300.60 L,15.9 h,18.91 L/h,13.74 L/h,300.6,1160.7,,,,,,,,
9/30/2019,1160.7 h,300.60 L,,,14.28 L/h,300.6,1160.7,,,,,,,,
10/2/2019,1169.6 h,83.40 L,8.9 h,9.37 L/h,13.74 L/h,83.4,1169.6,,,,,,,,
10/4/2019,1187.2 h,163.70 L,17.6 h,9.30 L/h,13.86 L/h,163.7,1187.2,,,,,,,,
10/7/2019,1203.5 h,160.00 L,16.3 h,9.82 L/h,13.65 L/h,160,1203.5,,,,,,,,
10/9/2019,1218.1 h,138.00 L,14.6 h,9.45 L/h,13.49 L/h,138,1218.1,,,,,,,,
10/9/2019,1234.6 h,134.50 L,16.5 h,8.15 L/h,13.24 L/h,134.5,1234.6,,,,,,,,
10/14/2019,1244.7 h,82.00 L,10.1 h,8.12 L/h,12.83 L/h,82,1244.7,,,,,,,,
10/16/2019,1257.4 h,88.10 L,12.7 h,6.94 L/h,11.66 L/h,88.1,1257.4,,,,,,,,
10/18/2019,1258.0 h,56.50 L,0.6 h,94.17 L/h,19.36 L/h,56.5,1258,,,,,,,,
10/21/2019,,173.80 L,,,19.41 L/h,173.8,1258,,,,,,,,
10/23/2019,,234.70 L,,,19.41 L/h,408.5,1258,,,,,,,,
10/25/2019,,153.00 L,,,20.85 L/h,561.5,1258,,,,,,,,
10/26/2019,1309.6 h,112.80 L,51.6 h,13.07 L/h,21.39 L/h,674.3,1309.6,,,,,,,,
10/30/2019,1327.9 h,164.80 L,18.3 h,9.01 L/h,21.27 L/h,164.8,1327.9,,,,,,,,
10/31/2019,1343.8 h,164.60 L,15.9 h,10.35 L/h,21.40 L/h,164.6,1343.8,,,,,,,,
11/6/2019,1354.6 h,125.00 L,10.8 h,11.57 L/h,21.89 L/h,125,1354.6,,,,,,,,
11/7/2019,1362.8 h,97.00 L,8.2 h,11.83 L/h,22.42 L/h,97,1362.8,,,,,,,,
11/15/2019,1397.8 h,84.17 L,35.0 h,2.40 L/h,21.77 L/h,84.17,1397.8,,,,,,,,
11/22/2019,1424.6 h,193.50 L,26.8 h,7.22 L/h,9.35 L/h,193.5,1424.6,,,,,,,,
11/27/2019,,117.60 L,,,9.35 L/h,117.6,1424.6,,,,,,,,
11/29/2019,1465.8 h,104.60 L,41.2 h,5.39 L/h,8.86 L/h,222.2,1465.8,,,,,,,,
12/6/2019,1506.7 h,209.50 L,40.9 h,5.12 L/h,8.44 L/h,209.5,1506.7,,,,,,,,
1/29/2020,1619.0 h,79.20 L,112.3 h,0.71 L/h,7.07 L/h,79.2,1619,,,,,,,,
1/31/2020,1635.2 h,166.40 L,16.2 h,10.27 L/h,7.21 L/h,166.4,1635.2,,,,,,,,
2/3/2020,1645.6 h,155.20 L,10.4 h,14.92 L/h,7.72 L/h,155.2,1645.6,,,,,,,,
2/5/2020,1664.7 h,333.00 L,19.1 h,17.43 L/h,8.37 L/h,333,1664.7,,,,,,,,
2/7/2020,1683.4 h,256.40 L,18.7 h,13.71 L/h,8.58 L/h,256.4,1683.4,,,,,,,,
2/11/2020,1698.0 h,224.00 L,14.6 h,15.34 L/h,10.01 L/h,224,1698,,,,,,,,
2/13/2020,1712.8 h,100.20 L,14.8 h,6.77 L/h,9.96 L/h,100.2,1712.8,,,,,,,,
2/14/2020,1722.9 h,272.10 L,10.1 h,26.94 L/h,11.66 L/h,272.1,1722.9,,,,,,,,
2/17/2020,1729.2 h,111.90 L,6.3 h,17.76 L/h,12.90 L/h,111.9,1729.2,,,,,,,,
2/21/2020,1756.6 h,201.40 L,27.4 h,7.35 L/h,13.12 L/h,201.4,1756.6,,,,,,,,
2/24/2020,1767.9 h,141.10 L,11.3 h,12.49 L/h,14.30 L/h,141.1,1767.9,,,,,,,,
2/28/2020,1793.9 h,260.00 L,26.0 h,10.00 L/h,14.27 L/h,260,1793.9,,,,,,,,
3/4/2020,1818.6 h,264.50 L,24.7 h,10.71 L/h,13.85 L/h,264.5,1818.6,,,,,,,,
3/11/2020,1826.4 h,116.10 L,7.8 h,14.88 L/h,13.60 L/h,116.1,1826.4,,,,,,,,
3/13/2020,1845.0 h,183.80 L,18.6 h,9.88 L/h,13.21 L/h,183.8,1845,,,,,,,,
3/16/2020,1859.9 h,188.00 L,14.9 h,12.62 L/h,12.94 L/h,188,1859.9,,,,,,,,
3/18/2020,1879.0 h,217.00 L,19.1 h,11.36 L/h,13.40 L/h,217,1879,,,,,,,,
3/20/2020,1889.9 h,191.00 L,10.9 h,17.52 L/h,12.46 L/h,191,1889.9,,,,,,,,
3/25/2020,1927.6 h,114.00 L,37.7 h,3.02 L/h,10.98 L/h,114,1927.6,,,,,,,,